tweet_id~twitter_handle~parent_tweet_id~tweet~tweet_time~location
1643782274784063490~1359761575771578370~None~"RT @ars_informer: 🚨 Arteta Changes Mind, Wants to Keep Kieran Tierney at Arsenal

🗣️ Despite limited game time this season, Arteta sees Tie…"~2023-04-06 01:06:48+00:00~Where Igbeaux dey
1643782259810635776~1471057592759701511~None~"RT @Silva007_t: New april goals unlocked : 
Salah record broken.
Bayern knocked out of the UCL.
Arsenal losing the top spot to us. https://…"~2023-04-06 01:06:45+00:00~
1643782257210183680~1436254643714240559~None~'AND ON EASTER SUNDAY, JESUS HAS RISEN TO GIVE ARSENAL THE LEAD AT ANFIELD' https://t.co/TtSxk8TDfG~2023-04-06 01:06:44+00:00~
1643782243792617472~4057677088~None~"RT @EuropaLeague: 🤩 The assist and the finish... 😱  

🗓️ Aaron Ramsey finishing this incredible move on this day in 2018 🔴  

@Arsenal || #…"~2023-04-06 01:06:41+00:00~Maracay Aragua. 
1643782216986533891~1578228195953876993~1643475777957269505~@exspiravim after the explosion and taking his breather , he too reloaded his weapons . looking over at chris , giv… https://t.co/c9IuY9ZMnv~2023-04-06 01:06:35+00:00~
1643782205200809984~848361504336302080~None~RT @Biz_Ukraine_Mag: VIDEO: Former US President Bill Clinton speaks of his guilt over convincing Ukraine to hand over its nuclear arsenal i…~2023-04-06 01:06:32+00:00~
1643782187605712896~198016439~None~"RT @Gunnersc0m: Frank Lampard back at Chelsea?

Throwback to Gabriel Martinelli scoring THAT goal against his team at Stamford Bridge 💫🔴…"~2023-04-06 01:06:28+00:00~
1643782178369683457~1563487667307700225~None~"RT @Arsenalnewschan: 🗣️Roy Keane on the Premier League title race: ""#Arsenal are in a great position, wouldn't have thought that at the sta…"~2023-04-06 01:06:25+00:00~
1643782139538984960~1122017632478224386~1643775676208783360~@BrillianAmpair2 Good morning too  @ Brillian &amp; arsenal fan mate 🥰🙏~2023-04-06 01:06:16+00:00~
1643782138028867584~1568298987760795648~1643752431745138688~@Rusty389 @SleepyOktobur all of that coming from an Arsenal fan is fucking crazy💀💀💀💀~2023-04-06 01:06:16+00:00~
1643782124095324162~1563487667307700225~None~RT @Lacazest: It’s an Arsenal thing. 😉 https://t.co/SvPNqti8LE~2023-04-06 01:06:13+00:00~
1643782094705893378~1541609692824326145~None~RT @gunnerzvideoz: Granit Xhaka will bow out of Arsenal as the Emirates first Legend. His story at Arsenal must be told in the academy year…~2023-04-06 01:06:06+00:00~🥟
1643782087798034432~774034907920203776~None~"RT @Arsenalnewschan: 🗣️Legendary #Arsenal defender David O'Leary on Oleksandr Zinchenko: ""Zinchenko has been a revelation. I can’t understa…"~2023-04-06 01:06:04+00:00~
1643781992595726336~1563487667307700225~None~"RT @AFTVMedia: 🗣 ""They’re definitely favourites for the title. I don’t think they’ll do it. I still have to fancy City but Arsenal have got…"~2023-04-06 01:05:41+00:00~
1643781949599940609~89660393~1643681717230739484~@PiusAFC @AydeeGunner When Arsenal doesn't perform well? When is that?~2023-04-06 01:05:31+00:00~N. Delhi
1643781919513927683~968565600636358658~1643765479159259139~@scrapytweets Needs to wear the no.14 at Arsenal.~2023-04-06 01:05:24+00:00~
1643781908487086081~1049257624351457280~None~"RT @Harmless12345: Peter Obi is a master in this political game. He doesn't talk too much; silence is his greatest arsenal. 

He only comes…"~2023-04-06 01:05:21+00:00~Life
1643781901545779200~1557491454720753664~1643567538461196288~@ramshefa @Arsenal @JewishGooners What is the meaning of israel ? Do you mean palastine ??~2023-04-06 01:05:19+00:00~
1643781899578642433~1312256632978464768~None~"RT @BallinKy_: |￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣|
   Arsenal is winning the league!!!
|＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿|
                       \ (•◡•) /…"~2023-04-06 01:05:19+00:00~🇲🇾
1643781893517893632~1119454458163806208~None~If any of u have cute/funny pics animal pics or polnareff pics…. Bring out ur arsenal todays interactions have made me very sad i need them~2023-04-06 01:05:18+00:00~morioh town✍️
1643781851545235457~851745120613478401~None~RT @afcstuff: 🚨 Arsenal have opened talks with Leicester City midfielder Youri Tielemans. The player is out of contract in the summer as cl…~2023-04-06 01:05:08+00:00~Nigeria
1643781823401717760~274014502~None~"RT @afcstuff: Mikel Arteta: Arsenal manager &amp; former club captain. 🇪🇸

Edu Gaspar: Arsenal sporting director &amp; Invincible. 🇧🇷

Per Mertesac…"~2023-04-06 01:05:01+00:00~ashburton grove
1643781815096713216~1481624455055089665~None~"RT @afcstuff: Mikel Arteta: Arsenal manager &amp; former club captain. 🇪🇸

Edu Gaspar: Arsenal sporting director &amp; Invincible. 🇧🇷

Per Mertesac…"~2023-04-06 01:04:59+00:00~
1643781798999261184~824521057927397376~None~RT @Arsenal: Sending happiness and best wishes to all of our fans who are celebrating - Chag Sameach! https://t.co/Cmn7PHRdUH~2023-04-06 01:04:55+00:00~
1643781788643229697~1325903209299398658~1643770809738035200~$LABS is partner with #arsenal aswell.~2023-04-06 01:04:53+00:00~Satoshi Space
1643781765054492673~1194236524247863296~None~"RT @PLforIndia: The man who has changed everything 🔥 

@Arsenal | @m8arteta https://t.co/kaurnMBfbL"~2023-04-06 01:04:47+00:00~
1643781763758723072~4144596891~1643678039463665670~@theoldzealand @piersmorgan @Cristiano Zealand, he's an Arsenal fan, though I wish he wasn't, who's most likely tro… https://t.co/ajG2BqittT~2023-04-06 01:04:47+00:00~Clearwater, FL
1643781725061890053~968224325890428929~1643757226044313600~"@KennedovskiJ @Tee_Classiquem1 @Arsenal @gabrieljesus9 Y'all want Arsenal to bottle this so bad🤣🤣🤣🤣. 

Don't worry… https://t.co/6trkT7IB2W"~2023-04-06 01:04:37+00:00~Close To You 
1643781668564791299~774034907920203776~None~RT @PatrickTimmons1: Proper Arsenal. https://t.co/xLmGRmHm4C~2023-04-06 01:04:24+00:00~
1643781649547640833~1560567974045462531~None~"RT @TheJesusZone: Arsenal’s next six fixtures:

Liverpool 2-3 Arsenal 
West Ham 1-4 Arsenal 
Arsenal 3-0 Southampton 
Manchester City 3-2 A…"~2023-04-06 01:04:19+00:00~Accra
1643781646204932096~2468847967~None~RT @AnfieldWatch: 🚨 NEW: There may be a possibility that Thiago could make his return against Arsenal on Sunday. #lfc [liverpool echo] http…~2023-04-06 01:04:19+00:00~
1643781640097865728~338932033~None~RT @LauraKirk12: At the risk of being slightly over dramatic...Arsenal being in this title race is ruining my life. Head's gone, 100% canno…~2023-04-06 01:04:17+00:00~
1643781635442360321~1734018170~None~"RT @SanDiegGooners: SD Gooners x Padres shirts!

PREORDER ONLY. 

Preorder here: https://t.co/0kQ5T1gaUp. 

Orders will be confirmed &amp; paym…"~2023-04-06 01:04:16+00:00~La Jolla, CA
1643781632879370240~1563487667307700225~None~"RT @now_arsenaI: Two down, two wins, one to go…

Over to you lads, @arsenal.💪🏼 https://t.co/6M32VmoVMN"~2023-04-06 01:04:15+00:00~
1643781608346992640~890267886966669324~1643333282652667905~@farots Painful. Arsenal should run rings around us.~2023-04-06 01:04:10+00:00~
1643781588822675456~260452732~None~"RT @1Walid1: Good morning

 https://t.co/9uO5hNulun"~2023-04-06 01:04:05+00:00~Worldwide- - ✈
1643781551400820737~1563487667307700225~None~"RT @Lacazest: Arsenal’s Player of the Month in March.

Still can’t believe how cheap we got Leandro for… Sensational business! 👏🏻 https://t…"~2023-04-06 01:03:56+00:00~
1643781524989329409~1563487667307700225~None~RT @afcstuff: Arsenal midfielder Mohamed Elneny - ruled out of the rest of the season through injury - making the pilgrimage to Mecca durin…~2023-04-06 01:03:50+00:00~
1643781524183998464~1587531596~None~RT @AFC_Fazeel: “Why do we always have to make it about Arsenal” of course we will make everything about Arsenal. We have been disrespected…~2023-04-06 01:03:50+00:00~Planet Brooklyn
1643781508904411142~1538833119301750785~None~"RT @PLforIndia: The man who has changed everything 🔥 

@Arsenal | @m8arteta https://t.co/kaurnMBfbL"~2023-04-06 01:03:46+00:00~Lagos
1643781503976112128~774034907920203776~None~"RT @afcstuff: Mikel Arteta: Arsenal manager &amp; former club captain. 🇪🇸

Edu Gaspar: Arsenal sporting director &amp; Invincible. 🇧🇷

Per Mertesac…"~2023-04-06 01:03:45+00:00~
1643781497223086080~1251343507165503488~1643627597027323906~@nightskyred @9798Nikolai Keown was tried as an anchor mid / sweeper for Arsenal and Everton, as well as filling in… https://t.co/nLqP0yV3ow~2023-04-06 01:03:43+00:00~Assume somewhere pertinent
1643781474896707587~949691140483244032~None~RT @MLS: Throwback to the last time we played @Arsenal in the 2016 #MLSAllStar Game. 🤩 https://t.co/E4DcXKgFlU~2023-04-06 01:03:38+00:00~
